"Aconitum variegatum";"Actaea spicata";"Aegopodium podagraria";"Agrostis canina";"Agrostis capillaris";"Agrostis gigantea";"Agrostis stolonifera";"Ajuga reptans";"Alliaria petiolata";"Allium ursinum";"Alopecurus pratensis";"Anemone nemorosa";"Angelica sylvestris";"Anthoxanthum odoratum";"Anthriscus nitida";"Anthriscus sylvestris";"Artemisia vulgaris";"Asarum europaeum";"Athyrium filix-femina";"Brachypodium sylvaticum";"Calamagrostis arundinacea";"Calamagrostis canescens";"Calamagrostis villosa";"Caltha palustris";"Calystegia sepium";"Campanula latifolia";"Campanula patula";"Campanula trachelium";"Cardamine amara";"Cardamine hirsuta";"Cardaminopsis halleri";"Carduus personata";"Carex brizoides";"Carex canescens";"Carex echinata";"Carex flava";"Carex pallescens";"Carex panicea";"Carex paniculata";"Carex pendula";"Carex remota";"Carex sylvatica";"Carex vesicaria";"Chaerophyllum aromaticum";"Chaerophyllum hirsutum";"Chamaenerion angustifolium";"Chrysosplenium alternifolium";"Chrysosplenium oppositifolium";"Circaea alpina";"Circaea lutetiana";"Circaea x intermedia";"Cirsium arvense";"Cirsium oleraceum";"Cirsium palustre";"Cirsium rivulare";"Crepis paludosa";"Dactylis glomerata";"Dactylorhiza fuchsii";"Dentaria bulbifera";"Deschampsia cespitosa";"Doronicum austriacum";"Dryopteris austriaca  s. l.";"Dryopteris filix-mas";"Dryopteris spinulosa s.l.";"Elymus caninus";"Epilobium montanum";"Epilobium palustre";"Equisetum arvense";"Equisetum fluviatile";"Equisetum palustre";"Equisetum sylvaticum";"Euphorbia dulcis";"Festuca altissima";"Festuca gigantea";"Ficaria verna";"Filipendula ulmaria";"Fragaria vesca";"Galeobdolon luteum";"Galeopsis pubescens";"Galeopsis speciosa";"Galeopsis tetrahit s.l.";"Galium aparine";"Galium odoratum";"Galium palustre s.l.";"Geranium phaeum";"Geranium robertianum";"Geranium sylvaticum";"Geum rivale";"Geum urbanum";"Glechoma hederacea";"Glyceria fluitans";"Gymnocarpium dryopteris";"Heracleum sphondylium";"Holcus mollis";"Hordelymus europaeus";"Humulus lupulus";"Hypericum maculatum";"Impatiens glandulifera";"Impatiens noli-tangere";"Impatiens parviflora";"Juncus effusus";"Lamium maculatum";"Lapsana communis";"Lilium martagon";"Lunaria rediviva";"Luzula luzuloides";"Luzula pallescens";"Lychnis flos-cuculi";"Lycopus europaeus";"Lysimachia nemorum";"Lysimachia nummularia";"Lysimachia vulgaris";"Maianthemum bifolium";"Melandrium rubrum";"Melica nutans";"Mentha x verticillata";"Mercurialis perennis";"Milium effusum";"Moehringia trinervia";"Mulgedium alpinum";"Mycelis muralis";"Myosotis palustris s.l.";"Oxalis acetosella";"Paris quadrifolia";"Petasites albus";"Petasites hybridus";"Phalaris arundinacea";"Phegopteris polypodioides";"Phragmites australis";"Phyteuma spicatum";"Poa nemoralis";"Poa palustris";"Poa remota";"Poa trivialis";"Polygonatum multiflorum";"Polygonatum verticillatum";"Polygonum bistorta";"Populus tremula";"Prenanthes purpurea";"Primula elatior";"Prunella vulgaris";"Pulmonaria officinalis";"Ranunculus acris";"Ranunculus flammula";"Ranunculus lanuginosus";"Ranunculus platanifolius";"Ranunculus repens";"Reynoutria japonica";"Sanguisorba officinalis";"Sanicula europaea";"Scirpus sylvaticus";"Scrophularia nodosa";"Scutellaria galericulata";"Senecio nemorensis s.l.";"Solanum dulcamara";"Solidago virgaurea";"Stachys sylvatica";"Stellaria holostea";"Stellaria media";"Stellaria nemorum";"Stellaria uliginosa";"Symphytum officinale";"Tanacetum vulgare";"Taraxacum officinale";"Thalictrum aquilegifolium";"Urtica dioica";"Vaccinium myrtillus";"Valeriana dioica";"Valeriana sambucifolia";"Veratrum lobelianum";"Veronica beccabunga";"Veronica chamaedrys";"Veronica montana";"Vicia sepium";"Vinca minor";"Viola palustris";"Viola reichenbachiana"
"sp_1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;1;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;3;17.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0.5;0;0.5;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;17.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0
"sp_2";0;0;0.5;0;0;0;0;0;0;0;0;0.1;0;0;0;7.5;0;1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0.1;0;0;0.1;0;0.5;0;0;0;0;0;0;0;3;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0.1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;1;0;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
"sp_4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0
"sp_5";0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;1;0;0.1;0;0;0.5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;3;0;0;0;0;0;0;0.5;0;0;0;0;1;0;0;0.1;0;0;0;0;0.1;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;41.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0.1;0;1;0;0;1;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"sp_6";0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.1;0;0.5;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;41.5;17.5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sp_7";0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;7.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;29;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.1;0;3;0.5;0.5;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"sp_11";0;0.1;3;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;17.5;0;0.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;3;0;1;0;0;0;0;0;0;7.5;0;0;0;0;0.1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;1;0.5;0.1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;17.5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
"sp_13";0;0;0.5;0;0;0;0;0.5;0;0;0;0;0.5;0;0;0;0;0;3;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;17.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;3;0;0.1;0;0.5;0;0;0;0.5;0;0;17.5;0.5;0;0;0;0.1;0;0;0;0;0;0;0.5;0;0;0;0;1;0;0;0.1;0;0;0;0;0;0;0;0;3;0.1;0;0;0;0;0;0;0;0;1;0;0.5;0;0;0.5;0.1;0;0;0;0;0;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0.5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
"sp_14";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;17.5;17.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;3;0;0;0;0;1;0;0;1;0;3;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0
"sp_15";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0
"sp_16";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0
"sp_17";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;87.5;0;0;0;0;0;0;0;0;0;0;0
"sp_18";0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;3;0;0;0;0;0;41.5;0;0;0;0;0;0;0;0;0;0;0
"sp_21";0;0;1;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;17.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0.1;0.5;0;0;0;0.5;0;0;0;0.5;0;0;0.1;0.1;0;0;7.5;0;0;0;0.5;0;0.1;0;0;0;0;0;0.5;0;0;0;0;0;0.5;0;0.5;0;0.5;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0.5;0;0;0;0;0;0;0;0;0;0.5;3;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;17.5;0;0;1;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sp_22";0;0;0;0;0;0;0;3;0;0;0;0.5;0;0;0;0;0;17.5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;3;0;0;0;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0.5;0;0;0.1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;29;0;1;1;0;0;0;0;0;0;0;1;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sp_23";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0.1;0;0;0;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;1;0;0;0;0;0;0;0;0
"sp_24";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0.1;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0
"sp_25";0;0;0.5;0;0;0;0;0.5;0;0;0;0;3;0;0;3;0;0;0.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;1;0;0;0;0;0;0.5;0;0;0;1;0;0.1;0;1;0;0;0.1;0;0;0;0;0;0;1;0;0.5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;1;0;0;0;0;0.5;7.5;0;0;0.1;3;0;0;0;0;0;0;0
"sp_28";0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;0;0.1;0;0.5;0;0;0;0;0;0;7.5;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;17.5;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0.5;7.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;17.5;0;0;3;0;0;7.5;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;0;0
"sp_29";0;0;0.5;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;7.5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0;3;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0.1;0;0;0
"sp_30";0;0;3;0;0;0;0;0;0.5;0;0;3;0;0;17.5;0;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;3;0;0;1;0;0;0;7.5;0;0;0.1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0.5;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;3;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.1;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0
