area;continent;country;plants;ants;amphibians;reptiles;fish;birds;mammals;spider;area;mainl;popdens;GDP;MAT;MAP;N;E
Labrador;America_N;Canada;130;NA;NA;NA;NA;3;7;NA;287.3532556;MAINL;0.096100834;33941.54;-33.24186547;895.6959442;54.28513132;-61.95852761
Nei_Mongol;Asia_Temp;China;145;NA;NA;NA;NA;2;5;NA;1150.936868;MAINL;20.62029233;7295.74;31.51814176;298.3222111;44.06270526;113.8562748
Channel_Is.;Europe;Jersey_and_Guernsey;834;NA;NA;NA;NA;2;4;NA;0.20030723;ISL;604.0677404;NA;116.2357955;844.8210227;49.31001616;-2.297805079
Shanxi;Asia_Temp;China;137;NA;NA;NA;NA;2;4;NA;156.2079291;MAINL;208.9667119;6086;79.130438;509.2012497;37.56877352;112.2850082
South_Georgia;Antarctic;South_Georgia_South_Sandwich_Islands;31;NA;NA;NA;NA;2;3;NA;3.614602603;ISL;0;34266.97;-5.827701293;1606.353915;-54.35798161;-36.71862583
Kuril_Is.;Asia_Temp;Russia;59;NA;NA;NA;NA;1;9;NA;10.65335917;ISL;1.882265278;NA;22.8271911;1325.399328;46.9490112;150.7974815
Khabarovsk;Asia_Temp;Russia;401;NA;NA;NA;NA;1;8;NA;822.7186425;MAINL;1.947556455;15510.6;-60.733204;614.8229605;54.58518626;137.129087
Kerguelen;Antarctic;France;67;NA;NA;NA;NA;1;8;NA;7.463948507;ISL;0;31299.3;36.40015055;781.3949567;-49.28875156;69.47951572
Mali;Africa;Mali;53;NA;NA;NA;NA;1;6;NA;1252.282227;MAINL;9.32872818;870.49;282.5922535;309.9140943;17.35036278;-3.524352079
Magadan;Asia_Temp;Russia;222;NA;NA;NA;NA;1;5;NA;1179.713014;MAINL;0.276485645;NA;-114.8924469;323.7297957;65.14920159;128.5394239
Chongqing;Asia_Temp;China;58;NA;NA;NA;NA;1;5;NA;81.85316096;MAINL;371.5978694;10398.98;155.7836789;1224.902478;30.0572387;107.8677783
Buryatiya;Asia_Temp;Russia;41;NA;NA;NA;NA;1;5;NA;352.357042;MAINL;3.023160525;8351;-55.57325906;434.2270353;53.55446059;109.5025411
Chita;Asia_Temp;Russia;22;NA;NA;NA;NA;1;5;NA;431.8354579;MAINL;2.998290174;8699.15;-53.31326068;408.7831963;52.8406914;116.2008257
Andhra_Pradesh;Asia_Trop;India;323;NA;NA;NA;NA;1;2;NA;275.2233609;MAINL;274.6242383;4218;274.0063922;896.1678388;16.6054652;79.584671
Nagaland;Asia_Trop;India;260;NA;NA;NA;NA;1;2;NA;16.64054948;MAINL;NA;3369;195.6257515;1956.679817;26.04609971;94.44951099
Chattisgarh;Asia_Trop;India;239;NA;NA;NA;NA;1;2;NA;139.1971312;MAINL;152.1116427;2363.79;256.3226461;1349.392685;21.20371021;82.07318725
Marion-Prince_Edward_Is.;Antarctic;South_Africa;12;NA;NA;NA;NA;1;1;NA;0.338046983;ISL;0;NA;42.57465278;2481.222222;-46.85955871;37.76015675
Coral_Sea_Is._Territory;Australasia;Australia;5;NA;NA;NA;NA;1;0;NA;0.010039825;ISL;0;NA;253.2727273;1702.090909;-14.71927942;145.6634742
West_Siberia;Asia_Temp;Russia;116;NA;NA;NA;NA;0;10;NA;2499.931373;MAINL;8.999615963;NA;-31.92443104;471.0535043;61.75671889;72.8366824
Tristan_da_Cunha;Antarctic;Saint_Helena._Ascension_and_Tristan_da_Cunha;83;NA;NA;NA;NA;0;9;NA;0.170952442;ISL;0.534221399;34266.97;105.6733068;2516.023904;-38.66545462;-11.15734365
Krasnoyarsk;Asia_Temp;Russia;73;NA;NA;NA;NA;0;7;NA;2351.459104;MAINL;1.571259901;15062;-98.29976743;401.2228438;66.84088675;95.86563691
Selvagens;Africa;Portugal;15;NA;NA;NA;NA;0;7;NA;0.001863877;ISL;0;NA;193;373;30.14296023;-15.86268648
Tuva;Asia_Temp;Russia;17;NA;NA;NA;NA;0;6;NA;169.6871046;MAINL;1.744364241;5911;-61.61755618;427.7214264;51.57947047;94.79308741
Altay;Asia_Temp;Russia;84;NA;NA;NA;NA;0;5;NA;263.3257894;MAINL;11.41035547;6244;5.471859779;443.9736601;51.96816239;84.13073238
Crozet_Is.;Antarctic;France;59;NA;NA;NA;NA;0;4;NA;0.353579768;ISL;0;31299.3;46.50166667;2393.416667;-46.34319821;51.61850122
Madhya_Pradesh;Asia_Trop;India;287;NA;NA;NA;NA;0;2;NA;306.1130911;MAINL;194.3654891;2364;252.764826;1050.802048;23.54588133;78.28086393
Delhi;Asia_Trop;India;277;NA;NA;NA;NA;0;2;NA;1.284364038;MAINL;7172.030401;9644;251.0502924;583.3894737;28.63934492;77.09583036
Goa;Asia_Trop;India;270;NA;NA;NA;NA;0;2;NA;4.202549459;MAINL;309.2069256;12831.02;266.4769382;2923.265162;15.35905217;74.07968645
Pondicherry;Asia_Trop;India;265;NA;NA;NA;NA;0;2;NA;0.342056609;MAINL;1705.63618;NA;282.9876238;1158.522277;11.90384245;79.74341416
Chandigarh;Asia_Trop;India;251;NA;NA;NA;NA;0;2;NA;0.139583858;MAINL;5170.63066;11594;240.6210526;984.6842105;30.72617784;76.76928938
Jharkhand;Asia_Trop;India;238;NA;NA;NA;NA;0;2;NA;79.16105526;MAINL;348.9970041;3477;251.2199082;1235.461911;23.65943494;85.58224459
Navassa_I.;America_S;US_Pacific;30;NA;NA;NA;NA;0;1;NA;0.002750925;ISL;0;NA;263.4;1687;18.40676308;-75.0154597
Ashmore-Cartier_Is.;Australasia;Australia;6;NA;NA;NA;NA;0;0;NA;0.000580758;ISL;0;NA;271;1221;-12.2740736;122.9686152
Zimbabwe;Africa;Zimbabwe;238;NA;NA;NA;15;2;10;NA;389.8588261;MAINL;32.24452891;723.2;204.7623358;673.6665421;-19.00000691;29.87176247
Zambia;Africa;Zambia;136;NA;NA;NA;8;2;7;NA;751.904017;MAINL;14.28820684;1066.64;212.2655845;1018.798848;-13.45307891;27.79788138
Aisen;America_S;Chile;59;NA;NA;NA;8;1;12;NA;76.67129567;MAINL;1.01814395;9344.71;66.82674258;1981.780357;-46.28323301;-73.3600189
Rwanda;Africa;Rwanda;229;NA;NA;NA;8;0;7;NA;25.14284574;MAINL;320.6051132;526;189.8926496;1148.047881;-1.997987311;29.91719523
Swaziland;Africa;Swaziland;315;NA;NA;NA;6;3;11;NA;17.12172023;MAINL;58.91348132;2956.7;197.3306347;858.2579505;-26.5621158;31.49719338
Malawi;Africa;Malawi;50;NA;NA;NA;5;0;9;NA;118.5238657;MAINL;96.77526102;481.42;220.5144027;1090.510885;-13.21511579;34.30698695
Tierra_del_Fuego_(Argentina);America_S;Argentina;136;NA;NA;NA;3;2;12;NA;20.89053005;MAINL;4.624491299;22277;47.05318637;445.5621149;-54.32992245;-67.42584236
Xinjiang;Asia_Temp;China;161;NA;1;NA;3;2;5;NA;1631.778294;MAINL;11.42405936;5883;51.97136616;106.8547311;41.12316666;85.25096208
Burundi;Africa;Burundi;187;NA;NA;NA;3;0;6;NA;27.1815728;MAINL;241.0124417;219.5;197.3615452;1192.276972;-3.356304234;29.88681075
Tocantins;America_S;Brazil;35;NA;NA;NA;1;2;7;NA;276.4727622;MAINL;4.295086599;11171.53;261.4163283;1679.907816;-10.1180597;-48.32330914
Chad;Africa;Chad;278;NA;NA;NA;1;1;6;NA;1271.887647;MAINL;6.501648147;736;269.2694787;315.3229441;15.3611377;18.66460375
Burkina;Africa;Burkina_Faso;149;NA;NA;NA;1;1;6;NA;272.3334353;MAINL;41.31807168;577.9;280.6697725;764.0182665;12.27792186;-1.739834269
Antipodean_Is.;Australasia;New_Zealand;36;NA;NA;NA;0;13;5;NA;0.860910406;ISL;0;NA;68.44987469;1429.771303;-50.99242823;167.927082
Mauritania;Africa;Mauritania;84;NA;0;3;NA;1;6;NA;1038.476244;MAINL;2.535624507;1201.8;276.5105399;91.10892999;20.25990345;-10.33225759
Eritrea;Africa;Eritrea;65;NA;0;3;2;1;5;NA;121.034946;MAINL;29.19627425;368.7;261.8953476;353.4690309;15.35884128;38.85291013
Durango;America_N;Mexico;52;NA;1;2;8;5;6;NA;120.400294;MAINL;14.60395313;10306;171.2475272;632.6216537;24.93494206;-104.920038
Benin;Africa;Benin;333;NA;0;2;1;1;6;NA;116.1731119;MAINL;62.05897834;1163.72;271.8131021;1063.100902;9.647652716;2.343259931
Aldabra;Africa;Seychelles;120;NA;0;1;NA;5;5;NA;0.183071149;ISL;0;NA;260.0790698;1074.223256;-9.412807798;46.38345351
Djibouti;Africa;Djibouti;42;NA;0;1;NA;1;6;NA;21.43429387;MAINL;27.17669672;1353;280.5091989;172.0853482;11.7498223;42.57794604
Nauru;Pacific;Nauru;368;NA;0;1;1;1;7;NA;0.028916421;ISL;368.2351111;6233.9;277.3939394;2060.121212;-0.522073311;166.9300834
Guinea-Bissau;Africa;Guinea-Bissau;48;NA;0;0;NA;1;6;NA;33.9694872;MAINL;39.40451718;1340.2;266.0594584;1700.296873;12.01619646;-14.98748338
St._Pierre-Miquelon;America_N;Saint-Pierre_and_Miquelon;198;NA;1;0;NA;1;2;NA;0.259445525;ISL;13.3440946;31299.3;49.65759637;1356.029478;46.92888261;-56.30527649
Svalbard;Europe;Norway;11;NA;0;0;NA;0;2;NA;1.94886734;ISL;0.009909523;36582.98;-56.86025708;325.1632795;78.70942796;21.70142481
Antarctica;Antarctic;Antarctica;2;NA;0;0;NA;0;0;NA;90.24035516;MAINL;NA;NA;NA;NA;-70.22768539;-63.92517379
Heard-McDonald_Is.;Antarctic;Heard_Island_and_McDonald_Islands;1;NA;0;0;NA;0;0;NA;0.402629766;ISL;0;NA;6.001285347;906.625964;-53.09067804;73.49727342
Chubut;America_S;Argentina;165;NA;0;0;5;1;12;NA;221.7166516;MAINL;1.870970694;16100;99.61283611;239.2092386;-43.79850246;-68.49107605
Neuquen;America_S;Argentina;186;NA;0;0;4;7;15;NA;93.58546868;MAINL;3.686918749;19853;102.2256938;431.471343;-38.64072006;-70.12494553
Santa_Cruz;America_S;Argentina;129;NA;0;0;4;1;12;NA;238.779053;MAINL;0.760155346;26257.32;78.47137133;230.3743923;-48.79279354;-69.88964308
La_Pampa;America_S;Argentina;177;NA;0;0;4;1;11;NA;142.7028999;MAINL;2.135750949;10875;152.3654758;448.1096835;-37.13294383;-65.44555016
San_Luis;America_S;Argentina;93;NA;0;0;4;1;11;NA;77.38618129;MAINL;4.816423825;9679;164.8071953;504.6382088;-33.75647931;-66.02890863
Zacatecas;America_N;Mexico;51;NA;1;0;3;3;6;NA;74.81841551;MAINL;18.47609142;8200;172.0846912;457.5334938;23.30936554;-102.6996886
Mendoza;America_S;Argentina;186;NA;1;0;1;3;10;NA;151.222536;MAINL;10.67915881;9302;118.195995;311.7008622;-34.59827794;-68.60836732
Greenland;America_N;Greenland;145;NA;0;0;1;0;3;NA;282.1136834;ISL;0.149420103;40447;-126.377196;300.2724332;75.89220458;-43.35223699
Mauritius;Africa;Mauritius;31;35;2;15;15;23;12;NA;2.055545627;ISL;554.8621203;7772.1;224.5760657;1823.39695;-20.19562027;57.55521154
Northern_Marianas;Pacific;Northern_Mariana_Islands;372;29;1;5;2;7;9;NA;0.6139767;ISL;100.9820286;13600;260.1830239;1941.438992;16.25570463;145.5878321
Tubuai_Is.;Pacific;French_Polynesia;590;28;NA;NA;NA;2;5;NA;0.098864971;ISL;35.33960119;NA;228.3821138;1993.861789;-23.09392209;-150.0686054
Christmas_I.;Asia_Trop;Christmas_Island;176;23;0;6;NA;3;4;NA;0.123982362;ISL;3.323547691;41107.48;260.4863014;1790.027397;-10.44411526;105.7036983
Saudi_Arabia;Asia_Temp;Saudi_Arabia;50;21;0;2;7;11;7;NA;1954.702084;MAINL;10.85549439;19326.6;245.6916525;93.99392471;24.02338171;44.58510242
Guadeloupe;America_S;Guadeloupe;17;20;3;4;NA;13;9;NA;1.683878128;ISL;219.9275641;NA;247.9530562;1943.055746;16.20471476;-61.52963332
North_Yemen;Asia_Temp;Yemen;265;14;NA;NA;NA;2;6;NA;133.8353701;MAINL;109.6620524;NA;219.1604621;187.4265311;15.42218908;44.38421054
Oman;Asia_Temp;Oman;40;13;0;2;3;11;5;NA;308.968624;MAINL;7.797801359;20922.7;263.164656;59.29730571;20.60235556;56.11008523
Curacao;America_S;Curacao;47;13;2;2;1;5;8;NA;0.473489683;ISL;263.7302244;20001;272.9767442;560.5796064;12.18779752;-68.96749055
Karnataka;Asia_Trop;India;376;12;NA;NA;NA;0;3;NA;189.3319552;MAINL;272.0747324;4033;253.4897688;1157.635645;14.68692199;76.1848651
Jalisco;America_N;Mexico;95;12;0;2;9;3;6;NA;79.62159556;MAINL;83.95925234;11486;199.1021029;926.8124943;20.59876629;-103.6219003
British_Virgin_Is.;America_S;British_Virgin_Islands;246;12;2;1;NA;3;10;NA;0.158088809;ISL;78.08633723;NA;261.0808081;1116.777778;18.50995704;-64.48189202
Cocos_(Keeling)_Is.;Asia_Trop;Cocos_(Keeling)_Islands;58;11;0;3;NA;1;1;NA;0.028737393;ISL;7.357715387;41107.48;265.8157895;1940.342105;-12.17188243;96.85559708
Kerala;Asia_Trop;India;374;10;NA;NA;NA;0;2;NA;38.55074668;MAINL;793.1375401;5003;258.4671292;2808.036504;10.46869272;76.40455815
Aruba;America_S;Aruba;32;10;2;7;NA;3;5;NA;0.206395579;ISL;412.2044687;24289.1;273.1653226;419.2217742;12.51668736;-69.97713313
Kiribati_Line_Is.;Pacific;Kiribati;132;10;0;2;2;1;6;NA;0.610136541;ISL;5.910507088;1539.1;277.8765778;1062.981767;0.852244772;-157.1849743
Juan_Fernandez_Is.;America_S;Chile;211;10;0;0;NA;2;9;NA;0.151656739;ISL;0;12526.56;153.7276995;997.1079812;-33.66269944;-79.537658
Tamil_Nadu;Asia_Trop;India;439;9;NA;NA;NA;0;2;NA;130.0814113;MAINL;471.7280003;4590;274.3912948;936.4639864;11.00541379;78.4041776
West_Bengal;Asia_Trop;India;350;9;NA;NA;NA;0;2;NA;82.43543412;MAINL;934.8107151;3153;259.9878689;1629.739758;23.67171975;87.97270501
Chagos_Archipelago;Africa;United_Kingdom;130;9;0;1;NA;6;3;NA;0.104454823;ISL;0;NA;273.1666667;2482.391667;-7.081251358;72.28982913
Cayman_Is.;America_S;Cayman_Islands;218;8;1;8;1;7;8;NA;0.306388469;ISL;103.9246478;58857;264.0379404;1335.680217;19.431525;-80.82909683
Singapore;Asia_Trop;Singapore;221;8;1;6;77;33;9;NA;0.555444048;ISL;6193.555677;46596.7;268.8828968;2405.918336;1.351180381;103.8076536
Anguilla;America_S;Anguilla;29;8;1;4;NA;4;6;NA;0.094676314;ISL;109.1028438;19478;270.1551724;974.9568966;18.22423294;-63.05795609
Morelos;America_N;Mexico;66;8;0;3;11;7;6;NA;5.001573226;MAINL;367.3793586;8380;217.5571405;957.57562;18.75832012;-99.07010981
Meghalaya;Asia_Trop;India;276;7;NA;NA;NA;1;2;NA;22.51664666;MAINL;106.5898138;3133;214.0746171;3914.385722;25.53506569;91.28002793
Jammu-Kashmir;Asia_Trop;India;339;7;NA;NA;NA;1;1;NA;187.6742215;MAINL;74.76494016;NA;11.85213093;383.7441075;34.53843846;75.83898112
Himachal_Pradesh;Asia_Trop;India;571;7;NA;NA;NA;0;6;NA;55.16733231;MAINL;110.7376566;4844;85.16395823;1102.09621;31.91191756;77.25169639
Punjab;Asia_Trop;India;307;7;NA;NA;NA;0;2;NA;50.98465453;MAINL;481.3516193;5029;241.5471543;641.8126689;30.84687226;75.4150735
Bonaire;America_S;Carribean_Netherlands;54;7;2;2;NA;4;7;NA;0.31849296;ISL;30.25247419;18090.4;274.6155844;455.7168831;12.18797808;-68.28454164
St._Martin-St._Barthelemy;America_S;Saint_Barthelemy;29;7;1;1;NA;2;11;NA;0.086936431;ISL;367.9595641;31299.3;268.9099099;1026.279279;18.02520131;-62.98530669
Nuevo_Leon;America_N;Mexico;72;7;1;1;14;5;7;NA;65.05866325;MAINL;60.6619272;21620.74;206.7337721;548.4742563;25.57799528;-99.95925882
Sikkim;Asia_Trop;India;302;6;NA;NA;NA;1;2;NA;7.276306679;MAINL;73.94132997;5645;64.04888239;1217.370796;27.56360331;88.46613051
Valparaiso;America_S;Chile;311;6;NA;NA;8;3;10;NA;16.06664276;MAINL;95.18601614;9908;119.1715389;376.1824958;-32.7937111;-70.97797856
Ceara;America_S;Brazil;108;6;NA;NA;4;2;7;NA;149.4905317;MAINL;48.79826192;3871;257.7238114;857.8519826;-5.10290094;-39.62316019
Rajasthan;Asia_Trop;India;321;5;NA;NA;NA;1;2;NA;341.9993137;MAINL;163.156628;2882;258.8595627;430.773841;26.5856744;73.84865296
Cyprus;Asia_Temp;Cyprus;143;5;0;2;13;2;9;NA;9.25882162;ISL;82.22321411;30438.9;178.4752927;515.135016;35.04300313;33.21867825
Bolivia;America_S;Bolivia;198;5;0;1;10;2;8;NA;1086.530726;MAINL;7.62553214;1934.7;204.2344051;1149.482314;-16.71511345;-64.67053986
Henan;Asia_Temp;China;171;4;NA;NA;NA;2;5;NA;166.0300341;MAINL;553.0589277;5805;141.7225558;750.0872946;33.87827834;113.6069562
Assam;Asia_Trop;India;297;4;NA;NA;NA;1;2;NA;79.09062639;MAINL;332.7303922;2080.76;237.8481453;2407.934783;26.3430472;92.8312049
Gujarat;Asia_Trop;India;292;4;NA;NA;NA;1;2;NA;185.0416106;MAINL;262.2983975;5185;267.5102965;683.3251254;22.70479161;71.55597905
Arunachal_Pradesh;Asia_Trop;India;282;4;NA;NA;NA;1;2;NA;82.03038929;MAINL;14.84962594;3650;144.8970352;1857.529565;28.03303338;94.66391147
Manipur;Asia_Trop;India;259;4;NA;NA;NA;1;2;NA;21.74258218;MAINL;107.4419651;2061;200.7103172;1899.056204;24.72499615;93.88349026
Johnston_I.;Pacific;US_Pacific;24;4;NA;NA;NA;0;2;NA;0.001200417;ISL;0;NA;262;635;16.72861477;-169.5338036
Libya;Africa;Libya;147;4;0;2;NA;0;3;NA;1617.575828;MAINL;3.245395631;12378.5;216.7169977;31.05514982;27.04405009;18.02318175
Michoacan;America_N;Mexico;92;4;0;1;14;3;6;NA;59.40522433;MAINL;70.31833823;7416;212.5935578;994.9836155;19.21129264;-101.8797259
Macau;Asia_Temp;China;83;4;0;0;NA;1;5;NA;0.006806896;MAINL;35021.46392;53046;227.6;1815.1;22.1995404;113.5449681
Guanajuato;America_N;Mexico;57;4;0;0;8;3;6;NA;30.38918443;MAINL;154.4325655;9607;179.9183759;648.0659575;20.89378567;-101.0210804
Mexico_Distrito_Federal;America_N;Mexico;76;4;0;0;3;10;6;NA;1.340683588;MAINL;6141.507871;8286.94;138.7204819;926.7277108;19.27289093;-99.1287943
Jiangsu;Asia_Temp;China;234;3;NA;NA;NA;2;5;NA;99.52762073;MAINL;702.2621835;12446;148.5225284;929.1092862;32.97741605;119.4393083
Uttar_Pradesh;Asia_Trop;India;316;3;NA;NA;NA;0;2;NA;244.2105169;MAINL;692.9110656;2051;253.4127589;1012.988686;26.94462298;80.54340217
Orissa;Asia_Trop;India;283;3;NA;NA;NA;0;2;NA;148.9534152;MAINL;241.0645119;2826;259.6601163;1401.617295;20.56641205;84.50456397
Sergipe;America_S;Brazil;46;3;NA;NA;3;2;8;NA;21.47686283;MAINL;78.59490519;4863;244.4659749;983.5113156;-10.58053533;-37.44585369
Roraima;America_S;Brazil;42;3;NA;NA;1;2;7;NA;224.9210736;MAINL;1.473617863;7693.31;262.0107526;1872.122326;2.069108653;-61.40128747
Queretaro;America_N;Mexico;58;3;0;2;5;4;6;NA;12.06703606;MAINL;114.9967484;13624.14;181.748873;733.075842;20.84527276;-99.84580705
Liberia;Africa;Liberia;141;2;NA;NA;NA;2;6;NA;96.02580743;MAINL;31.82445837;326.6;255.9805377;2690.574377;6.448116623;-9.307850737
Tripura;Asia_Trop;India;256;2;NA;NA;NA;1;2;NA;10.44806016;MAINL;315.7434249;2880;249.4714543;2291.742338;23.7399447;91.73472672
Bihar;Asia_Trop;India;288;2;NA;NA;NA;0;2;NA;94.02323657;MAINL;858.391943;1453;255.3604692;1135.714901;25.67250309;85.60035916
Haryana;Asia_Trop;India;283;2;NA;NA;NA;0;2;NA;44.09318986;MAINL;470.2204655;6317;249.0117983;561.9661161;29.19180804;76.32365516
Congo;Africa;Congo;56;2;NA;NA;9;0;7;NA;344.0436052;MAINL;10.00509226;2183.4;245.0303472;1654.783407;-0.840074754;15.22427245
Rondonia;America_S;Brazil;32;2;NA;NA;2;2;7;NA;238.4472344;MAINL;6.004791058;7693.31;248.2882315;1885.823955;-10.92011687;-62.84391904
Alagoas;America_S;Brazil;72;2;NA;NA;1;2;7;NA;28.01448713;MAINL;101.0849367;3309;241.8722117;1068.870466;-9.512672396;-36.62650544
Clipperton_I.;America_S;France;8;2;0;1;NA;0;1;NA;0.007363246;ISL;0;NA;268.875;193.875;10.29770781;-109.2192906
Tlaxcala;America_N;Mexico;39;2;0;0;2;4;6;NA;4.091477953;MAINL;338.3302056;6221;137.8348787;753.5176563;19.41546267;-98.13974237
Netherlands_Leeward_Is.;America_S;Sint_Maarten;35;1;NA;NA;NA;5;13;NA;0.08286499;ISL;367.1594593;NA;267.15;1072.02;17.85982296;-63.03120108
Heilongjiang;Asia_Temp;China;151;1;NA;NA;NA;1;5;NA;451.48888;MAINL;80.23840468;6395;8.454532438;553.5969856;47.86654263;127.7523268
Qinghai;Asia_Temp;China;118;1;NA;NA;NA;1;5;NA;734.1538179;MAINL;7.021445223;5671;-21.00357305;294.7405979;35.77342914;96.04684807
Gansu;Asia_Temp;China;148;1;NA;NA;NA;1;4;NA;380.4545264;MAINL;65.49789271;7295.74;58.66668748;306.8589996;37.73762835;101.2225229
Ningxia;Asia_Temp;China;109;1;NA;NA;NA;1;4;NA;51.93857218;MAINL;106.3998646;7295.74;77.09801806;307.7158424;37.27292648;106.1541306
Uttaranchal;Asia_Trop;India;337;1;NA;NA;NA;1;2;NA;50.88388154;MAINL;138.1591189;2051.13;122.8198694;1427.695416;30.17093669;79.26128662
Mizoram;Asia_Trop;India;251;1;NA;NA;NA;1;2;NA;20.85110398;MAINL;42.35676402;2080.76;226.0175783;2481.039268;23.29777463;92.83116618
Laccadive_Is.;Asia_Trop;India;28;1;NA;NA;NA;1;0;NA;0.060507634;ISL;497.4902336;3477;276.44;1755.84;9.907591042;72.88334886
Niger;Africa;Niger;37;1;NA;NA;NA;0;6;NA;1182.025788;MAINL;9.945330854;502.51;271.0273871;133.8480471;17.42632346;9.397650573
Lesotho;Africa;Lesotho;206;1;NA;NA;4;4;6;NA;30.53912744;MAINL;58.32062067;1078.83;115.2778592;753.1686697;-29.58100531;28.24284307
La_Araucania;America_S;Chile;301;1;NA;NA;4;3;11;NA;32.6512719;MAINL;25.95160073;NA;101.4119123;1555.618043;-38.62280503;-72.24781466
Northern_Cape_Province;Africa;South_Africa;389;1;NA;NA;2;5;10;NA;362.3512324;MAINL;2.383913249;6975.41;175.4510768;236.2220767;-29.52566363;21.34693074
North_Korea;Asia_Temp;Korea._Democratic_People's_Republic_of;71;1;NA;NA;1;2;5;NA;122.2921626;MAINL;173.8535684;1800;57.84565258;1005.233506;40.1428471;127.1805274
Namibia;Africa;Namibia;275;1;0;2;9;3;20;NA;804.6509794;MAINL;NA;4244.89;198.0679278;275.1285022;-22.23553957;17.07189693
Puebla;America_N;Mexico;93;1;0;1;7;4;6;NA;34.22946785;MAINL;143.1588751;7866;183.9915136;1022.851949;19.00092067;-97.88545764
Central_African_Republic;Africa;Central_African_Republic;57;1;0;1;5;0;6;NA;618.5751323;MAINL;5.953591829;456.6;248.9981141;1367.884122;6.571447681;20.48276784
Santa_Fe;America_S;Argentina;111;1;0;1;0;1;12;NA;133.7239573;MAINL;22.88824727;NA;189.2358474;970.4917975;-30.69496137;-60.94508102
Revillagigedo_Is.;America_N;Mexico;47;1;0;0;NA;1;7;NA;0.227527926;ISL;0;NA;237.2614841;291.3922261;18.77973887;-111.4100739
Aguascalientes;America_N;Mexico;28;1;0;0;5;2;6;NA;5.598890215;MAINL;169.5926364;12449;170.9472415;543.4631967;22.01122575;-102.3623764
