a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;a57;a58;a59;a60;a61;a62;a63;a64;a65;a66;a67;a68;a69;a70;a71;a72;a73;a74;a75;a76;a77;a78
Achillea millefolium;2;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;3;3;2;2;0;0;0;2;2;0
Aegopodium podagraria;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrimonia eupatoria;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;0;2;0;0;0;0;0;0;3;2;2
Agrostis capillaris;0;2;2;3;0;2;0;0;2;2;2;3;2;3;0;3;3;0;0;3;0;0;0;2;2;2;0;0;3;2;0;3;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0
Agrostis stolonifera;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla sp.;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;2
Alnus glutinosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alopecurus pratensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Anemone nemorosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angelica sylvestris;3;2;2;0;2;2;0;0;0;3;0;3;0;0;0;0;0;0;0;3;3;3;0;2;0;0;4;4;2;0;0;4;3;0;2;3;0;0;0;0;0;3;0;0;0;0;0
Anthoxanthum odoratum;0;0;0;0;0;2;2;0;2;0;0;0;0;3;0;0;3;2;0;2;3;2;2;2;3;3;2;3;2;0;2;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0
Arrhenatherum elatius;0;0;2;0;2;0;0;0;2;2;3;2;2;0;3;3;0;0;0;3;0;3;0;0;3;2;0;0;0;0;0;0;0;3;2;3;3;0;0;0;0;0;3;0;3;0;0
Avenula pubescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Betonica officinalis;2;4;2;0;7;4;2;3;0;0;7;0;0;4;7;4;7;8;3;0;0;4;0;7;3;3;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0
Betula pendula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Briza media;0;0;0;0;2;2;0;2;2;3;0;0;0;0;0;2;3;3;0;2;0;2;0;2;3;0;0;0;2;0;2;0;0;3;3;0;3;0;3;3;2;0;0;2;0;0;2
Calamagrostis epigejos;0;0;0;0;4;0;0;0;0;3;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0
Caltha palustris;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campanula patula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine pratensis;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex dioica;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Carex disticha;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex flacca;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;7;0;2;2;0;3;3;2;0;7;3;4;3
Carex flava;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex hartmanii;0;0;3;0;0;3;0;3;0;0;2;0;2;0;0;0;3;0;0;0;2;3;3;2;0;4;0;0;0;3;3;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Carex hirta;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
Carex hostiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Carex lepidocarpa;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex nigra;0;0;3;4;0;0;2;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;3;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0
Carex ovalis;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex pallescens;0;2;0;0;0;3;0;0;0;0;3;0;3;3;2;2;0;0;0;0;2;3;3;2;0;3;3;0;0;0;2;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0
Carex panicea;0;0;4;0;0;0;2;3;3;3;2;0;0;2;0;0;3;3;0;2;2;3;0;0;0;0;0;3;0;3;3;0;0;0;0;4;0;0;0;4;0;0;0;0;2;0;0
Carex praecox;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
Carex spicata;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex tomentosa;0;0;0;0;0;2;0;0;2;0;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;3;0;0;0;0;0;0;0;0;0
Carex vesicaria;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex vulpina;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centaurea jacea;3;0;0;0;2;3;0;2;0;0;2;3;0;3;3;3;3;3;0;3;3;2;2;2;3;0;0;0;0;2;0;0;0;3;2;0;2;2;2;2;2;3;0;3;2;3;3
Cerastium holosteoides;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;2;0;0;2;2;0;2
Cirsium arvense;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Cirsium palustre;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0
Cirsium rivulare;4;4;2;2;2;3;2;3;3;2;3;3;0;0;0;0;0;0;0;3;3;0;3;3;3;4;3;4;0;3;2;3;2;3;3;0;0;0;0;2;2;0;0;0;2;2;0
Colchicum autumnale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;7;0
Comarum palustre;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crepis biennis;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0
Crepis paludosa;0;0;0;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Cruciata glabra;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;3;0;2;3;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;3;0;3;0
Dactylis glomerata;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
Dactylorhiza maculata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
Danthonia decumbens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;3;3;0
Daucus carota;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Deschampsia caespitosa;3;3;3;3;0;0;3;2;2;3;0;3;3;0;3;0;3;3;0;0;0;3;0;3;0;3;3;0;0;0;3;3;2;4;4;0;0;3;0;3;0;3;3;0;0;2;3
Dianthus deltoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Elymus repens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium palustre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium parviflorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epipactis helleborine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epipactis palustris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;3;0;0;2;3;4;0;0;0;0;0;0
Equisetum arvense;3;1;1;2;0;2;2;0;2;2;2;0;3;0;2;2;2;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;2;2;2;2;2;2;3;0;0;0;0
Equisetum hyemale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0
Equisetum palustre;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0
Equisetum sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euphorbia cyparissias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Festuca pratensis;0;3;0;0;0;0;0;0;0;2;0;3;3;3;0;0;3;0;0;3;0;3;0;0;3;0;0;0;3;3;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0
Festuca rubra;0;7;0;0;0;2;0;0;0;0;3;0;3;3;0;3;2;3;0;0;0;0;0;0;3;3;0;3;0;3;3;0;0;0;3;3;3;3;0;3;2;0;3;3;3;0;0
Filipendula ulmaria;0;0;3;0;0;0;4;3;0;3;3;3;0;2;0;0;0;0;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0
Filipendula vulgaris;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;7;4;2;0;0;0;0;0;0;0;0;0;0;0
Fragaria vesca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;3;0;3;0
Frangula alnus;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;1;3;0;2;2;2;3;0;0;0;0;0;0
Galeopsis bifida;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galeopsis pubescens ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium aparine ;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium boreale;0;0;3;0;0;7;0;3;2;0;3;3;2;3;4;0;0;4;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;3;0;9;4;3
Galium palustre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium uliginosum;0;3;2;2;3;0;0;2;3;3;2;0;1;2;0;0;0;3;0;2;2;2;3;2;3;0;2;2;3;0;2;2;2;0;0;3;0;2;2;3;2;2;0;2;0;0;0
Galium verum;0;0;2;0;3;3;0;3;3;0;3;2;2;3;3;3;2;2;0;0;2;3;0;3;3;0;0;0;0;0;0;0;0;3;3;2;3;3;3;3;2;0;2;3;3;3;2
Gentiana pneumonanthe;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0
